year,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1999,10,Kentucky,0,0,7824,15817,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23993
1999,10,Louisiana,0,0,5516,16218,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21964
1999,10,Maine,0,0,1267,7150,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8503
1999,10,Maryland,3129,0,186,5743,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9070
1999,10,Massachusetts,521,0,1223,1254,0,22,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332
1999,10,Michigan,10924,0,99,24306,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35334
1999,10,Minnesota,2507,0,2895,21302,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26815
1999,10,Mississippi,0,0,5116,12980,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18299
1999,10,Missouri,0,0,3639,19215,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23087
1999,10,Montana,0,0,1614,7854,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9588
1999,10,Nebraska,1598,0,55,4909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6563
1999,10,Nevada,0,0,2362,2541,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5044
1999,10,New Hampshire,2,0,1515,3448,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4974
1999,10,New Jersey,0,0,1396,2191,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650
1999,10,New Mexico,0,0,3091,6494,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9754
1999,10,New York,4669,0,877,14634,0,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20254
