AnimalID,breed,sex,receiptnumber,dateimpounded,name,dispositiondate,color,approxweight,agecategory,source,status
35201,husky mix,m/n,da 25-216018,2025-01-20,marty mcfly,2025-04-20,['white'],unknown,young adult,holding stray,sold
35207,pug,f,n/a rhf - hb,2025-01-22,nuinui,2025-01-22,"['beige', 'brown']",unknown,adult,holding stray,ride home free
35210,malamute shepherd mix,m,n/c vpd,2025-01-22,koda,2025-01-24,"['brown', 'grey']",unknown,adult,holding stray,redeemed
35212,pit bull,m/n,da 25 240483,2025-01-23,remi (was bronx),2025-06-14,"['white', 'brown']",unknown,adult,brought-in,sold
35216,pekingese mix,m,n/a rhf,2025-01-26,saint,2025-01-26,"['brown', 'white']",unknown,adult,holding stray,ride home free
35219,maltese,f,n/a - rhf,2025-01-28,twiti,2025-01-29,['white'],unknown,unknown,brought-in,ride home free
35220,husky malamute mix,m,n/a - rhf - hb,2025-01-30,haha,2025-01-30,"['black', 'white']",unknown,adult,holding stray,redeemed
35223,"bird, pigeon",m/n,unknown,2025-02-05,unknown,2025-02-06,"['white, brown', 'black']",unknown,adult,brought-in,health
35227,pug mix,m,unknown,2025-02-07,billy the kid,2025-03-07,['black'],unknown,adult,vpd impound,redeemed
35231,shih tzu mix,m,da 25-233001 -hb,2025-02-07,noah (aka alf),2025-05-28,"['black', 'white on chest']",unknown,puppy,vpd impound,sold
35233,terrier mix,m/n,n/a - rhf - hb,2025-02-10,rally,2025-02-10,['white'],unknown,unknown,brought-in,ride home free
35234,brussels griffon pom mix,f,di 25-187884 ja,2025-02-11,lily,2025-02-11,"['tan', 'black']",unknown,adult,holding stray,redeemed
35236,guinea pig,f,unknown,2025-02-11,pumpkin,2025-03-08,"['brown', 'white']",unknown,young adult,brought-in,sold
35237,"daschund, long haired",f/s,n/a - vpd db,2025-02-12,lacey,2025-02-12,"['black, white', 'cream']",unknown,senior,holding stray,redeemed
35243,pit mix,m,unknown,2025-02-14,unknown,2025-02-16,['white'],unknown,young adult,brought-in,transferred
35244,pit bull,m,n/a - db,2025-02-20,diego,2025-02-22,"['grey', 'white']",unknown,puppy,vpd impound,redeemed
35245,pit bull,m,n/a - db,2025-02-20,egypt (temp),2025-02-22,"['brown', 'white']",unknown,puppy,vpd impound,redeemed
35247,pit bull,m,n/a - sold,2025-02-20,whisky,2025-02-22,"['tan', 'grey', 'white']",unknown,puppy,vpd impound,redeemed
35251,pigeon,x,unknown,2025-02-27,unknown,2025-03-01,"['white', 'grey']",unknown,adult,holding stray,transferred
35259,samoyed,f,n/a - hb,2025-03-01,urolochka,2025-03-03,['white'],unknown,puppy,vpd impound,redeemed
35263,pomeranian,f,di 25-196929 - hb,2025-03-02,stella,2025-03-03,['white'],unknown,unknown,brought-in,redeemed
35267,guinea pig,m,unknown,2025-03-03,stan,2025-04-15,"['black, brown', 'white']",unknown,adult,brought-in,redeemed
35270,rottweiler mix,f,n/a rhf - hb,2025-03-06,luna,2025-03-06,"['black', 'brown']",unknown,adult,holding stray,ride home free
35275,amer. bulldog,m,di 25-199898 - hb,2025-03-08,diesel,2025-03-11,['tan'],unknown,adult,holding stray,redeemed
35278,maltese/pomeranian mix,f,di 25-199610 - hb,2025-03-10,twiti,2025-03-10,['white'],unknown,adult,holding stray,redeemed
35279,maltese/pomeranian mix,m,di 25-199611 - hb,2025-03-10,chawii,2025-03-10,['white'],unknown,adult,holding stray,redeemed
35281,labrador,m,n/a - hb,2025-03-11,oscar,2025-03-13,['black'],unknown,senior,vpd impound,redeemed
35286,yorkie mix,f/s,da 25-230187 - hb,2025-03-12,winnie (was ella),2025-05-22,"['tan, brown', 'grey']",unknown,adult,holding stray,sold
35287,pit bull,f,n/a - medical impound - hb,2025-03-13,hashbrown bella,2025-03-16,['grey'],unknown,adult,medical,redeemed
35288,pit bull,m,n/a - medical impound,2025-03-13,jackson,2025-03-16,['grey'],unknown,adult,medical,redeemed
