,date,breed,color,name,sex,state
1036,2000-01-01T00:00:00+00:00,Collie X Lab,Grey & Black,Genny,F/S,Matched
1037,2000-01-01T00:00:00+00:00,Lhasa Apso,Black,Kasha,F/S,Matched
1038,2000-01-01T00:00:00+00:00,Schipperke,Black,Lilly,F,Matched
1039,2000-01-01T00:00:00+00:00,Shep X,Black & Brown,Peppy,M/N,Matched
1040,2000-01-01T00:00:00+00:00,Shep X Lab,Black,,M/N,Matched
1041,2000-01-02T00:00:00+00:00,German Shepherd,Black & Tan,Lucky,M/N,Lost
1042,2000-01-02T00:00:00+00:00,Shep,Black & Tan,Lucky,M/N,Lost
1043,2000-01-04T00:00:00+00:00,Boxer,Brindle,Lexus,M,Matched
1044,2000-01-04T00:00:00+00:00,Lab X Shep,Black &  White,,M,Lost
1045,2000-01-05T00:00:00+00:00,Bull Terrier,Brown & White,,M,Found
1046,2000-01-06T00:00:00+00:00,Heeler,Red,,M,Lost
1047,2000-01-06T00:00:00+00:00,Husky X,Black & White & Tan,Akayu,M/N,Matched
1048,2000-01-06T00:00:00+00:00,Pitbull X,White,Benny,M,Lost
1049,2000-01-06T00:00:00+00:00,Poodle,Black,Scruffy,M,Matched
1050,2000-01-07T00:00:00+00:00,Aust Shep X Akita,Black & Grey & Tan,Lola,F/S,Lost
1051,2000-01-07T00:00:00+00:00,Collie X Samoy,White & Gold,,M,Lost
1052,2000-01-07T00:00:00+00:00,Lab X ?,White & Brindle,,M,Found
1053,2000-01-07T00:00:00+00:00,Ridgeback,Red,,,Lost
1054,2000-01-07T00:00:00+00:00,Terrier X,Black & Grey & Tan,,M,Found
1055,2000-01-08T00:00:00+00:00,Lab X,Black,Gabriel,M,Lost
1056,2000-01-08T00:00:00+00:00,Pitbull X,Red,,M,Matched
1057,2000-01-08T00:00:00+00:00,Shep X Lab,Black,Ike,M,Found
1058,2000-01-09T00:00:00+00:00,Lab,Black,,M,Found
1059,2000-01-09T00:00:00+00:00,Shep X,Grey & Brown & Black,,M,Matched
1060,2000-01-10T00:00:00+00:00,Lab X Pit,White,,M,Matched
1061,2000-01-10T00:00:00+00:00,Rott,Black & Tan,Michelle,F,Lost
1062,2000-01-10T00:00:00+00:00,Shepherd X,White & Cream,Jasper,M/N,Lost
1063,2000-01-11T00:00:00+00:00,Akita X,Grey with white markings,,F/S,Lost
1064,2000-01-11T00:00:00+00:00,Husky X Sheperd,Beige & White,Alaska,F,Lost
1065,2000-01-11T00:00:00+00:00,Sheperd X ?,Black & Brown,,M,Found
1066,2000-01-11T00:00:00+00:00,Shepherd X Dane,Brown & Black,Ellby,M/N,Lost
1067,2000-01-12T00:00:00+00:00,American Eskimo,White,Suzie,F/S,Lost
1068,2000-01-12T00:00:00+00:00,Chow X Rotty,Black & Tan,Chia,F,Lost
1069,2000-01-12T00:00:00+00:00,Lab,Black,Caileigh,F/S,Found
1070,2000-01-12T00:00:00+00:00,Lab X,Copper,Duke,M,Matched
1071,2000-01-12T00:00:00+00:00,Pitbull,Brown Brindle,Ellie,F/S,Lost
1072,2000-01-12T00:00:00+00:00,Shepherd,Biege & Black,,F,Matched
1073,2000-01-13T00:00:00+00:00,Coonhound,Black & Tan,,F,Lost
1074,2000-01-13T00:00:00+00:00,Pekingese,Black,Kiki,F/S,Lost
1075,2000-01-13T00:00:00+00:00,Pekingese,Black & White,Kiki,F,Lost
1076,2000-01-14T00:00:00+00:00,2 Labs & 1 Shep,Black,,,Lost
1077,2000-01-14T00:00:00+00:00,American Husky,White,Rocky,M/N,Lost
1078,2000-01-14T00:00:00+00:00,Doby X,Black & White & Brown,Goalie,M/N,Lost
1079,2000-01-14T00:00:00+00:00,Lab,Black,Cuba,M/N,Lost
1080,2000-01-14T00:00:00+00:00,Lab,Golden,Kayla,F,Matched
1081,2000-01-14T00:00:00+00:00,Lab,Tape,,F,Lost
1082,2000-01-14T00:00:00+00:00,Lab X,White,Charlie,,Found
1083,2000-01-15T00:00:00+00:00,Husky X Collie,Black,,F,Matched
1084,2000-01-15T00:00:00+00:00,Pitbull,Brindle,Tyson,M,Lost
1085,2000-01-15T00:00:00+00:00,Retreiver,Rust,Sergier,M,Lost
1086,2000-01-15T00:00:00+00:00,Timber Wolf X Husky,Silver,Sparky,F,Found
1087,2000-01-16T00:00:00+00:00,Doby X Boxer,Black & Brown,,F,Found
1088,2000-01-16T00:00:00+00:00,Lab X,Black,Jack,M/N,Lost
1089,2000-01-16T00:00:00+00:00,Rott X,Black & Tan,,M,Found
1090,2000-01-17T00:00:00+00:00,Dalmation,White & Black,Princess,F/S,Matched
1091,2000-01-17T00:00:00+00:00,Husky X ? (puppy),Grey & White 7 Black,,M,Found
1092,2000-01-17T00:00:00+00:00,Lab,Gold,Lady,F,Lost
1093,2000-01-17T00:00:00+00:00,Lhasa Apso,Golden & Brown & White,Stinky,M/N,Lost
1094,2000-01-17T00:00:00+00:00,Sheltie,Brown & Black & White,Heather,F/S,Lost
1095,2000-01-18T00:00:00+00:00,Lab ?  (puppy),Gold,,M/N,Found
1096,2000-01-18T00:00:00+00:00,Shep X,Black & Tan,Stasha,F/S,Lost
1097,2000-01-19T00:00:00+00:00,Lab,White & Yellow,Terra,F,Matched
1098,2000-01-19T00:00:00+00:00,Lab X,Black & white on Chest,Dog,F/S,Lost
1099,2000-01-19T00:00:00+00:00,Sharpei,Tan,Zak,M,Lost
1100,2000-01-20T00:00:00+00:00,Labrador X,Black & White Chest,Jake,M,Lost
1101,2000-01-20T00:00:00+00:00,Shep X Aussy,Black & Tan,BJ,M,Matched
1102,2000-01-21T00:00:00+00:00,Retriever X Peranese,Gold,Arthur,M,Lost
1103,2000-01-22T00:00:00+00:00,Pom X,Orange,Mashu shu,M,Lost
1104,2000-01-23T00:00:00+00:00,Retreiver,Gold,,F,Matched
1105,2000-01-23T00:00:00+00:00,Retriever,Golden,Chase,F/S,Matched
1106,2000-01-24T00:00:00+00:00,Doby X Shep,Brown,Dakota,M/N,Lost
1107,2000-01-24T00:00:00+00:00,Shep X Lab,Tan & Golden,Otis,M/N,Matched
1108,2000-01-25T00:00:00+00:00,Lab X ?,Black & White,,M,Matched
1109,2000-01-25T00:00:00+00:00,Lab X Collie,White & Golden Brown,Shady Lady,F,Lost
1110,2000-01-25T00:00:00+00:00,Pom X Pekingese,Grey & Black Face,Kodiak,M/N,Lost
1111,2000-01-27T00:00:00+00:00,Aussie Shepherd,Blue Merle,,F,Found
1112,2000-01-27T00:00:00+00:00,Doby X Shep,Black & Tan,Charlie,M/N,Lost
1113,2000-01-27T00:00:00+00:00,Husky X,White,,M,Lost
1114,2000-01-27T00:00:00+00:00,Shih Tzu X Bichon Frise,Black & White,Miko,F/S,Lost
1115,2000-01-28T00:00:00+00:00,Chow Chow,Tan,,,Found
1116,2000-01-28T00:00:00+00:00,Corgi,Tape?,,F/S,Lost
1117,2000-01-28T00:00:00+00:00,Lab X Newfie,Black,Sammy,M/N,Lost
1118,2000-01-28T00:00:00+00:00,Rottweiler,Black & Brown,Nanna,F,Matched
1119,2000-01-28T00:00:00+00:00,Shep X Husky,Tan,Rocky,M,Lost
1120,2000-01-29T00:00:00+00:00,German Shepherd,Brown & Black,Shiva,F,Lost
1121,2000-01-29T00:00:00+00:00,Pitbull X Lab,Tan,Boo-Boo,M,Lost
1122,2000-01-29T00:00:00+00:00,Yorkshire Terrier,Grey & Gold,Benji,M,Matched
1123,2000-01-30T00:00:00+00:00,Rotty,Black & Tan,Bye bye,M,Lost
1124,2000-01-30T00:00:00+00:00,Sharpei,Beige,Ko Ko or Smudge,M,Lost
1125,2000-01-30T00:00:00+00:00,Shepherd,Black,Valentine,M/N,Lost
1126,2000-01-30T00:00:00+00:00,Yorkshire Terrier,Black & Tan,,,Matched
1127,2000-01-31T00:00:00+00:00,???,Brindle,Happer,M,Matched
1128,2000-01-31T00:00:00+00:00,German Shep,Black & Tan & White Chest,,M,Found
1129,2000-01-31T00:00:00+00:00,German Shepherd,Black & Tan White Chest,Chopper,M,Lost
1130,2000-02-01T00:00:00+00:00,Labrador,Golden,,M,Matched
1131,2000-02-01T00:00:00+00:00,Maltese Shih tzu X,Beige,Baby,F,Lost
1132,2000-02-01T00:00:00+00:00,Sheperd X,Black & Tan,Hank,M/N,Matched
1133,2000-02-01T00:00:00+00:00,Siberian Husky,White & Grey,Keno,M/N,Lost
1134,2000-02-01T00:00:00+00:00,Yorkshire Terrier,Brown & Black,Bobby,M,Lost
1135,2000-02-02T00:00:00+00:00,Beagle,Black & Tan & White,,,Lost
1136,2000-02-02T00:00:00+00:00,Lab X ?,Tan,Setta,F,Matched
1137,2000-02-03T00:00:00+00:00,Husky,Grey & White,Tasha,F/S,Lost
1138,2000-02-03T00:00:00+00:00,Lab,Black,Dakota,M/N,Lost
1139,2000-02-04T00:00:00+00:00,Beagle,Black & Tan & White,,M,Matched
1140,2000-02-04T00:00:00+00:00,Beagle,Tri Color,Buddy,M,Matched
1141,2000-02-04T00:00:00+00:00,German Shepherd,Black & Tan,KD,F/S,Matched
1142,2000-02-04T00:00:00+00:00,Husky X,Black & White,Malei,F,Lost
1143,2000-02-04T00:00:00+00:00,Shep,Black & Tan,KD,F,Lost
1144,2000-02-04T00:00:00+00:00,Shep X Collie,Tan,,M/N,Matched
1145,2000-02-06T00:00:00+00:00,Rott X,Black & Tan,Dakota,F,Matched
1146,2000-02-07T00:00:00+00:00,Rottys-2 dogs,Black & Tan,Starsky & Hutch,M/N,Matched
1147,2000-02-07T00:00:00+00:00,Shih-Tzu,Brown & White,Mikey,M/N,Matched
1148,2000-02-07T00:00:00+00:00,Yorkshire Terrier X,Black & Tan,Paris,F/S,Lost
1149,2000-02-08T00:00:00+00:00,Malamute X Wolf,Black & White,Keisha,F,Lost
1150,2000-02-08T00:00:00+00:00,Samoyed,White,Snow,M,Matched
1151,2000-02-09T00:00:00+00:00,Chihuahua X,Tan,,M,Matched
1152,2000-02-09T00:00:00+00:00,Coonhound,Black & Tan,,F,Matched
1153,2000-02-09T00:00:00+00:00,Husky X,Grey & Black,Prima,M/N,Lost
1154,2000-02-09T00:00:00+00:00,Malamute X,White & Grey,Jagger,M/N,Lost
1155,2000-02-09T00:00:00+00:00,Pitbull,Black & White,,F,Found
1156,2000-02-09T00:00:00+00:00,Pitbull X,Black & Brown,,F,Found
1157,2000-02-09T00:00:00+00:00,Rotty,Black & Tan,China,F,Lost
1158,2000-02-09T00:00:00+00:00,Sheltie,Tri Colour,,M,Matched
1159,2000-02-10T00:00:00+00:00,Sheltie,Tri Color,,F,Found
1160,2000-02-11T00:00:00+00:00,Lab,Black,,F,Found
1161,2000-02-11T00:00:00+00:00,Sheepdog  X,Black & White Chest,Bess,F,Lost
1162,2000-02-12T00:00:00+00:00,Golden  Retriever,Golden,,,Lost
1163,2000-02-12T00:00:00+00:00,Lab,Black,,F/S,Lost
1164,2000-02-12T00:00:00+00:00,Rotty,Black & Tan,Jack,M,Matched
1165,2000-02-12T00:00:00+00:00,Shep,Black & Tan,Bandit,M,Lost
1166,2000-02-13T00:00:00+00:00,Lab pup,Black & White Chest,Whisky,F/S,Lost
1167,2000-02-13T00:00:00+00:00,Shep X,Black & Brown,Dancer,F/S,Lost
1168,2000-02-13T00:00:00+00:00,Shep X,Tan & Black,Komar,M,Lost
1169,2000-02-14T00:00:00+00:00,Bulldog ?,Brown & White Chest,,F,Lost
1170,2000-02-14T00:00:00+00:00,Min. Poodle,Peach,,M,Found
1171,2000-02-14T00:00:00+00:00,Shep X,Black & Tan,Duchess,F/S,Lost
1172,2000-02-14T00:00:00+00:00,Terripoo,Blonde,Barney,M,Lost
1173,2000-02-15T00:00:00+00:00,Doberman,Black & Tan,Suka,F,Lost
1174,2000-02-15T00:00:00+00:00,Lab X  Shep,Black,Bear,M,Lost
1175,2000-02-15T00:00:00+00:00,Lab X Shep,Black & Tan,Amber,F,Lost
1176,2000-02-15T00:00:00+00:00,Terripoo,Grey,Penny,F/S,Lost
1177,2000-02-16T00:00:00+00:00,Husky X Collie,Tan & White & Brown,Oscar,M/N,Lost
1178,2000-02-16T00:00:00+00:00,Mini Greyhound,Tan,Bella,F,Lost
1179,2000-02-16T00:00:00+00:00,Rotty X Shep,Black & Tan,Napolean,M/N,Lost
1180,2000-02-17T00:00:00+00:00,Blue Heeler X,Black & White & Grey,Shelley,F/S,Matched
1181,2000-02-17T00:00:00+00:00,Rott,Black & Tan,Bojou,F,Lost
1182,2000-02-17T00:00:00+00:00,Rotty,Black & Tan,Keesha,F/S,Matched
1183,2000-02-17T00:00:00+00:00,Rotty,Black & Tan,Nitro,M/N,Matched
1184,2000-02-17T00:00:00+00:00,Samoy X,Cream,Zoetta,F,Lost
1185,2000-02-18T00:00:00+00:00,Golden Retreiver,Gold,Dexter,M/N,Lost
1186,2000-02-18T00:00:00+00:00,Samoys  (2),White,Snow/Shandi,F/S,Matched
1187,2000-02-18T00:00:00+00:00,Spaniel X,Brown & White,,M/N,Lost
1188,2000-02-19T00:00:00+00:00,Lab X Shep,Black &  Brown,Jonice,M,Matched
1189,2000-02-20T00:00:00+00:00,Lab,Black,,M,Matched
1190,2000-02-20T00:00:00+00:00,Shep,Black & Tan,,F,Found
1191,2000-02-22T00:00:00+00:00,Corgi X Sheltie,Black & Brown,Mojo,M/N,Lost
1192,2000-02-22T00:00:00+00:00,Pitbull X,Brown & Brindle,Coco,F,Matched
1193,2000-02-22T00:00:00+00:00,Standard Poodle,Black,?,M,Found
1194,2000-02-23T00:00:00+00:00,Bassett,Tri,,M,Found
1195,2000-02-23T00:00:00+00:00,Maltese,White,Bobo,M,Lost
1196,2000-02-24T00:00:00+00:00,Corgi X,Tan,,F,Lost
1197,2000-02-24T00:00:00+00:00,German Shepherd,Black & Tan,Sheba,F,Lost
1198,2000-02-24T00:00:00+00:00,Lab,Choco,Ginger,F/S,Found
1199,2000-02-24T00:00:00+00:00,Rott X Lab,Black & Tan,Dave,M,Lost
1200,2000-02-24T00:00:00+00:00,Rotty,Black & Tan,,M,Found
1201,2000-02-26T00:00:00+00:00,Beagle,Brown & White,Larry,M,Matched
1202,2000-02-26T00:00:00+00:00,Sheepdog,Black & White,Bo,M,Matched
1203,2000-02-26T00:00:00+00:00,White,Maltese,,F,Found
1204,2000-02-27T00:00:00+00:00,Pittbull,Black,,,Lost
1205,2000-02-28T00:00:00+00:00,Lahsa Apso,Cream,Abby,F/S,Lost
1206,2000-02-28T00:00:00+00:00,Rottweiler,Black & Tan,,F,Lost
1207,2000-02-29T00:00:00+00:00,Border Collie,Black & Beige & White,Chip,F/S,Lost
1208,2000-02-29T00:00:00+00:00,Mala X Husky,Brown,Nickie,M/N,Lost
1209,2000-02-29T00:00:00+00:00,Rotty,Black & Tan,Doris,F,Lost
1210,2000-03-01T00:00:00+00:00,Shih Tzu,Black & White,Kiwi,F,Lost
1211,2000-03-02T00:00:00+00:00,Lab X,Black,Tucker,F/S,Lost
1212,2000-03-03T00:00:00+00:00,?,Brown,,F,Found
1213,2000-03-03T00:00:00+00:00,Chow Chow(puppy),Red,Keisha,F,Lost
1214,2000-03-03T00:00:00+00:00,Cockapoo,Beige,Sparky,M,Matched
1215,2000-03-03T00:00:00+00:00,Husky,White,Yogi,M,Matched
1216,2000-03-03T00:00:00+00:00,Shep,Brown & Tan & White,Chopper,M,Lost
1217,2000-03-03T00:00:00+00:00,Shep X Akita,White & Greyish,Lobo,M,Matched
1218,2000-03-04T00:00:00+00:00,Chow X lab,Black,Harley,M,Lost
1219,2000-03-04T00:00:00+00:00,Lab X,Black,,F,Found
1220,2000-03-04T00:00:00+00:00,Rotty X,Black & Tan,Charlie,M,Lost
1221,2000-03-04T00:00:00+00:00,Shep,Black & Tan,,F,Found
1222,2000-03-05T00:00:00+00:00,Chow,Black,Bear,M,Lost
1223,2000-03-05T00:00:00+00:00,Maltese Terrier,White,Nikita,F,Lost
1224,2000-03-05T00:00:00+00:00,Mini Pincher,Black & Brown,,F,Lost
1225,2000-03-06T00:00:00+00:00,Lab,Black,Chubby,F/S,Lost
1226,2000-03-07T00:00:00+00:00,Chihuahua X Terrier,Tan,Buffy,F/S,Lost
1227,2000-03-08T00:00:00+00:00,Lab X,Black,Sparky,M,Lost
1228,2000-03-08T00:00:00+00:00,Pitbull,Black & White spot on chest,Bruno,M,Lost
1229,2000-03-08T00:00:00+00:00,Shiba Inu,Beige,Katsuko,F/S,Lost
1230,2000-03-09T00:00:00+00:00,Heeler,Mottle Grey,Sheila,F/S,Matched
1231,2000-03-09T00:00:00+00:00,Shep X,White & Grey,Sophie,F,Matched
1232,2000-03-09T00:00:00+00:00,Siberian Husky,Brown & White,Moka,M,Lost
1233,2000-03-10T00:00:00+00:00,Akita,Brown & Black,Kobe,M,Lost
1234,2000-03-10T00:00:00+00:00,Golden Retriever X Doberman,Golden with Black Mask,Brodie,M/N,Matched
1235,2000-03-10T00:00:00+00:00,Lab X,Tan & Brown,Daisy,F,Lost
1236,2000-03-11T00:00:00+00:00,Border Collie,Black & White,Max,M/N,Lost
1237,2000-03-11T00:00:00+00:00,Husky Shep X,Black & White,Mickey,M/N,Lost
1238,2000-03-11T00:00:00+00:00,Labrador,Chocolate,Hugo,M,Lost
1239,2000-03-11T00:00:00+00:00,Rott,Black & Tan,Bear,M,Matched
1240,2000-03-11T00:00:00+00:00,Shep,Black & Tan,Genhis,M,Matched
1241,2000-03-11T00:00:00+00:00,Spaniel,White & Brown,,F,Matched
1242,2000-03-12T00:00:00+00:00,Lab X Whippet,Black,Beauty,F,Lost
1243,2000-03-13T00:00:00+00:00,American Cocker Spaniel,White & Tan,Quincy,M/N,Matched
1244,2000-03-14T00:00:00+00:00,Shep X,Tri Color,,M/N,Lost
1245,2000-03-15T00:00:00+00:00,Bichon Frise X,Black,Black Jack,M/N,Lost
1246,2000-03-15T00:00:00+00:00,Cocker Spaniel,Blonde,Joey,M/N,Lost
1247,2000-03-15T00:00:00+00:00,Lab,Black,Rocky,M,Found
1248,2000-03-15T00:00:00+00:00,Lab X,Black,Syd,M/N,Matched
1249,2000-03-15T00:00:00+00:00,Shep X,Tan with White boots,Curley,M,Lost
1250,2000-03-17T00:00:00+00:00,Chow,Rust,Buddy/Lucky?,M,Matched
1251,2000-03-18T00:00:00+00:00,Lab X,Black,Lucy,F/S,Lost
1252,2000-03-18T00:00:00+00:00,Min Pin,Black & Tan,,F,Matched
1253,2000-03-18T00:00:00+00:00,Rotty,Black & Tan,Taz,M,Lost
1254,2000-03-19T00:00:00+00:00,Sheltie,Brown & White,Falcon,M/N,Lost
1255,2000-03-19T00:00:00+00:00,Shep X,Black & Tan,,M,Found
1256,2000-03-20T00:00:00+00:00,Chow X Dingo,Red,Casey,F,Lost
1257,2000-03-20T00:00:00+00:00,Min Dachsund,Black,Lily,F/S,Matched
1258,2000-03-20T00:00:00+00:00,Rottweiller,Black & Tan,?,F,Found
1259,2000-03-20T00:00:00+00:00,Rotty X Husky,Black & Beige,Taz,M,Lost
1260,2000-03-20T00:00:00+00:00,Wolfe X Shep,Black & Cream,Shylo,F,Lost
1261,2000-03-20T00:00:00+00:00,Yorkie Terrier,Black & Brown,Koko,F,Lost
1262,2000-03-21T00:00:00+00:00,American Bull Terrier,Golden,Lola,F/S,Matched
1263,2000-03-22T00:00:00+00:00,Airedale Terrier,Brown & Black,Duffy,M/N,Lost
1264,2000-03-23T00:00:00+00:00,Boxer,Brindle,Caches,M,Lost
1265,2000-03-23T00:00:00+00:00,JR Terrier,White & Brown,Keisha,F,Lost
1266,2000-03-23T00:00:00+00:00,Jack Russell Terr,White & Brown,Keisha,F,Lost
1267,2000-03-23T00:00:00+00:00,Retriever,Golden,,F,Found
1268,2000-03-23T00:00:00+00:00,Rotty,Black & Tan,Chubbs,F,Lost
1269,2000-03-24T00:00:00+00:00,Cockapoo,White Brown patch on back,Duke,M,Lost
1270,2000-03-25T00:00:00+00:00,Amer. Bull dog,White,Bronx,M,Lost
1271,2000-03-25T00:00:00+00:00,Chow X,Orange,Stanley,M/N,Matched
1272,2000-03-25T00:00:00+00:00,English Staff Terr,White,Elvis,M,Lost
1273,2000-03-25T00:00:00+00:00,Lab X Shep,Blondish Red,Bella,F/S,Lost
1274,2000-03-25T00:00:00+00:00,Pitbull,Black & White,Kilo,M,Lost
1275,2000-03-25T00:00:00+00:00,Rottweiler,Black & Tan,Rocky,M/N,Matched
1276,2000-03-25T00:00:00+00:00,Rotty X,Black & Tan,Roxy,F,Lost
1277,2000-03-25T00:00:00+00:00,Schnauzer,Grey,Carla,F,Lost
1278,2000-03-26T00:00:00+00:00,Amer Bull Dog,Whiite & Brindle,Sabre,M,Matched
1279,2000-03-26T00:00:00+00:00,Pitbull,Golden Brown,,F,Found
1280,2000-03-26T00:00:00+00:00,Rotty,Black & Tan,Bear,M,Matched
1281,2000-03-26T00:00:00+00:00,Shep,Black,Ghengis,M,Lost
1282,2000-03-26T00:00:00+00:00,Yorkie,Beige & Grey,Benji,M,Matched
1283,2000-03-27T00:00:00+00:00,Rottweiller,Black & Tan,Shaq,M,Lost
1284,2000-03-28T00:00:00+00:00,Beagle,Tri color,Buddy,M,Lost
1285,2000-03-29T00:00:00+00:00,Lab X,Black,Kiko,M/N,Matched
1286,2000-03-29T00:00:00+00:00,Sheperd,Tan Little Black,Duke,M,Lost
1287,2000-03-30T00:00:00+00:00,Border Collie,Black & White,,M/N,Matched
1288,2000-03-30T00:00:00+00:00,Maltese,White,Puppy,F,Lost
1289,2000-03-30T00:00:00+00:00,St Poodle,Black,Dyna,F,Lost
1290,2000-03-31T00:00:00+00:00,Keeshond,Black & Grey,Shannon,F/S,Matched
1291,2000-03-31T00:00:00+00:00,Malamute X,Black & Tan,Bobby,M/N,Found
1292,2000-03-31T00:00:00+00:00,Terrier X,Black & Grey,Grubby,F,Matched
1293,2000-04-01T00:00:00+00:00,Border Collie,Black & White,Ruby,F/S,Lost
1294,2000-04-01T00:00:00+00:00,Husky,Grey & White,Bear,M,Lost
1295,2000-04-01T00:00:00+00:00,Pitbull,Tan,Buddy,M,Lost
1296,2000-04-01T00:00:00+00:00,Pom X Poodle,Black,,F,Matched
1297,2000-04-01T00:00:00+00:00,Retriever,Black,Sebastian,M,Matched
1298,2000-04-02T00:00:00+00:00,Doby X,Black & Tan,Bill,M/N,Lost
1299,2000-04-02T00:00:00+00:00,Husky,Black & White,,M,Lost
1300,2000-04-02T00:00:00+00:00,Lab,Black & White,Kya,F,Matched
1301,2000-04-02T00:00:00+00:00,Lab X,Chocolate,Benson,M,Lost
1302,2000-04-03T00:00:00+00:00,Boxer,Rust,Simon,M,Lost
1303,2000-04-03T00:00:00+00:00,Lhasa Apso,Blonde,Barkly,M,Matched
1304,2000-04-03T00:00:00+00:00,Malt ????,White,,M,Matched
1305,2000-04-04T00:00:00+00:00,Lab X Rott,Black,Growly,M/N,Matched
1306,2000-04-04T00:00:00+00:00,Maltese Poodle X,White,Bela,F,Lost
1307,2000-04-05T00:00:00+00:00,Cocker Spaniel,Tan,Charlie,M,Lost
1308,2000-04-06T00:00:00+00:00,Amer Pit X Lab,Tan,Jessee,F,Lost
1309,2000-04-06T00:00:00+00:00,Chow,Black,ChinChin,F,Lost
1310,2000-04-06T00:00:00+00:00,Chow,Black,Chip,F,Lost
1311,2000-04-06T00:00:00+00:00,Chow,Red & Brown,Bocci,F,Lost
1312,2000-04-06T00:00:00+00:00,Dalmation,Black & White,Penny,F/S,Lost
1313,2000-04-06T00:00:00+00:00,Pitbull,Black,Kilo,M,Lost
1314,2000-04-06T00:00:00+00:00,Spitz X,White,,F,Found
1315,2000-04-07T00:00:00+00:00,Border Collie X,Black & White,Shadow,M/N,Matched
1316,2000-04-07T00:00:00+00:00,Lab,Black,,M,Matched
1317,2000-04-07T00:00:00+00:00,Pitbull,Brindle,Rocky,M,Matched
1318,2000-04-07T00:00:00+00:00,Rott,Black & Tan,,F,Found
1319,2000-04-08T00:00:00+00:00,Lab,Black,Sammy,M/N,Matched
1320,2000-04-08T00:00:00+00:00,Lab,Choclate,,M,Found
1321,2000-04-08T00:00:00+00:00,Pom,Cream & Purple,Miko,M,Matched
1322,2000-04-09T00:00:00+00:00,Lab pup,Black,,M,Found
1323,2000-04-09T00:00:00+00:00,Sheltie,Black & White,,F,Found
1324,2000-04-10T00:00:00+00:00,Lab,Golden,Buddy,M,Lost
1325,2000-04-10T00:00:00+00:00,Lhasa Apso,Tan,Rusty,M/N,Matched
1326,2000-04-11T00:00:00+00:00,Shep X,Black & Brown,Logan,M/N,Lost
1327,2000-04-11T00:00:00+00:00,Sibian Husky,Beige & Brown & Black,,M,Found
1328,2000-04-12T00:00:00+00:00,Cairn Terrier,Wheat,pippy,F,Lost
1329,2000-04-12T00:00:00+00:00,Rotty,Black & Tan,Lolla,F/S,Lost
1330,2000-04-13T00:00:00+00:00,Lab X,Golden White,Sam,M/N,Matched
1331,2000-04-13T00:00:00+00:00,Poodle,Black,Penny,F/S,Lost
1332,2000-04-13T00:00:00+00:00,Rott,Black & Tan,,M,Matched
1333,2000-04-13T00:00:00+00:00,Rott,Black & Tan,Dick,M,Matched
1334,2000-04-13T00:00:00+00:00,Samoyed,White,Snow & Shandy,M/N,Lost
1335,2000-04-13T00:00:00+00:00,Sky Terrier,Grey,,F/S,Matched
1336,2000-04-13T00:00:00+00:00,Spaniel,Black,,M,Found
1337,2000-04-14T00:00:00+00:00,Border Collie,Tri-Color,Kelsey,F/S,Matched
1338,2000-04-14T00:00:00+00:00,Burmese Mtn Dog,Black & White & Tan,Buster,M/N,Lost
1339,2000-04-14T00:00:00+00:00,Poodle X,Black,Echo,F,Lost
1340,2000-04-14T00:00:00+00:00,Shep X,Black & Tan,Baby Boy,M,Matched
1341,2000-04-15T00:00:00+00:00,British Bulldog,Brindle,Caesar,M,Matched
1342,2000-04-15T00:00:00+00:00,British Bulldog,White,Buddy,M,Lost
1343,2000-04-15T00:00:00+00:00,British Bulldog,White,Cleo,F,Matched
1344,2000-04-15T00:00:00+00:00,Lab X Rott,Black & Brown,Blackie,M/N,Lost
1345,2000-04-15T00:00:00+00:00,Lab X Shep,Black,Bailey,,Lost
1346,2000-04-15T00:00:00+00:00,Shep,Brown & Black,Jake,M,Lost
1347,2000-04-16T00:00:00+00:00,Collie X,Black & White & Tan,Korona,F/S,Lost
1348,2000-04-16T00:00:00+00:00,Doberman,Red w/wht patch on chest,,M,Matched
1349,2000-04-16T00:00:00+00:00,Lab X Boxer,Golden,Rupert,M/N,Lost
1350,2000-04-16T00:00:00+00:00,Lhasa Apso X Pom,Black & White,Oreo,M/N,Lost
1351,2000-04-16T00:00:00+00:00,Rott X Shep,Black & Tan,,M,Found
1352,2000-04-17T00:00:00+00:00,Cocker Spaniel,Golden Buff,Tawny,F,Lost
1353,2000-04-18T00:00:00+00:00,Basset X,Black & White,Freeway,M/N,Lost
1354,2000-04-18T00:00:00+00:00,Min. Daschund,Black & Brown,Minnie,F/S,Lost
1355,2000-04-18T00:00:00+00:00,Pitbull,Brown,Zeus,M,Lost
1356,2000-04-19T00:00:00+00:00,Boston Terrier,Black & White,,M,Matched
1357,2000-04-19T00:00:00+00:00,Collie,Black,Chelsea,F,Lost
1358,2000-04-19T00:00:00+00:00,Rotty X,Black & Brown,Lola,F/S,Lost
1359,2000-04-19T00:00:00+00:00,Shepherd X,Black & White,Luna,F/S,Matched
1360,2000-04-19T00:00:00+00:00,Shepherd X,White,Chia,F/S,Matched
1361,2000-04-19T00:00:00+00:00,Terr X,Black,Prissy,F,Lost
1362,2000-04-20T00:00:00+00:00,Pitbull,White & Brindle,Princess,F,Lost
1363,2000-04-21T00:00:00+00:00,Heeler X,Blue Merle,Boonie,M/N,Matched
1364,2000-04-21T00:00:00+00:00,Pekingese X,Black & White,,M,Found
