,date,breed,color,name,sex,state
73,1999-02-08T00:00:00+00:00,Rottweiller puppy,Black & Tan,,M,Lost
74,1999-02-08T00:00:00+00:00,Shep X,Black & Tan,Banjo,M,Lost
75,1999-02-08T00:00:00+00:00,Staff Terrier,Tan & White,Taz,M,Lost
76,1999-02-09T00:00:00+00:00,Cocker Spaniel,Blonde,Gus,M/N,Lost
77,1999-02-09T00:00:00+00:00,Shep X,Black & Tan,Timone,F/S,Lost
78,1999-02-09T00:00:00+00:00,Shep. /aaprox. 6 months old,Black & Tan,,M,Found
79,1999-02-09T00:00:00+00:00,Shepherd X,Black & Tan,,M,Found
80,1999-02-09T00:00:00+00:00,Shepherd X,Black & Tan & White,Shamba,F/S,Lost
81,1999-02-10T00:00:00+00:00,Lab,Yellow,Keylee,F/S,Lost
82,1999-02-10T00:00:00+00:00,Shep X Lab,White & Tan,Paka,F/S,Matched
83,1999-02-10T00:00:00+00:00,Staffforshire Terrier,Blonde & White,Taz,M,Lost
84,1999-02-10T00:00:00+00:00,Tabby Cat,Grey & White,,M/N,Found
85,1999-02-11T00:00:00+00:00,Husky X,White,,F,Matched
86,1999-02-11T00:00:00+00:00,Setter X,Brown & White,,M,Found
87,1999-02-11T00:00:00+00:00,Toy Poodle,Apricot,,F,Matched
88,1999-02-12T00:00:00+00:00,Bloodhound  X Shep,Black & Tan,Diamond,M,Lost
89,1999-02-12T00:00:00+00:00,Heeler X Shep,Tan & Black,Georgia,F/S,Lost
90,1999-02-12T00:00:00+00:00,Rott X   (pup),Black & Tan,,F,Found
91,1999-02-13T00:00:00+00:00,Lab X,Golden,Browse,M/N,Lost
92,1999-02-13T00:00:00+00:00,Lab X Visla,Red,Angel,F/S,Lost
93,1999-02-13T00:00:00+00:00,Setters (2),Red,,M,Found
94,1999-02-13T00:00:00+00:00,Shep  (dog loose in area),Black & Tan,,F/S,Found
95,1999-02-13T00:00:00+00:00,Shep X Husky,Brown & Tan,Homer,M/N,Lost
96,1999-02-14T00:00:00+00:00,Lab,Black,,M,Found
97,1999-02-14T00:00:00+00:00,Lab X,Light Brown,Boots,F/S,Lost
98,1999-02-14T00:00:00+00:00,Lhasa Apso,White & Grey,Velvet,F/S,Lost
99,1999-02-14T00:00:00+00:00,Samoyed,Blonde,,F/S,Found
100,1999-02-15T00:00:00+00:00,Collie X,White &  Gold,Tochi,F/S,Lost
101,1999-02-16T00:00:00+00:00,Lab X Setter,Brown & Red,Angie,F/S,Lost
102,1999-02-16T00:00:00+00:00,Lhasa Apso,Tan &  White &  Black,Buddy,M/N,Matched
103,1999-02-16T00:00:00+00:00,Mala X Husky,Grey & Auburn,,M,Found
104,1999-02-17T00:00:00+00:00,Akita X Malamute,Black & Grey,Niko,M,Lost
105,1999-02-17T00:00:00+00:00,Labrador,Black,,M,Found
106,1999-02-17T00:00:00+00:00,Shep X Husky,Tan,Sheba,F/S,Lost
107,1999-02-17T00:00:00+00:00,Terrier X  (Reunited),Beige,Buddy,M/N,Lost
108,1999-02-18T00:00:00+00:00,Rottweiler,Black &  Tan,Teddy,M/N,Lost
109,1999-02-18T00:00:00+00:00,Staffordshire Terrier,Black & White,Woody,M/N,Lost
110,1999-02-18T00:00:00+00:00,Terrier X,Black,Buddy,M,Matched
111,1999-02-19T00:00:00+00:00,Blue Heeler X,Blue Merle,Kita,F/S,Lost
112,1999-02-19T00:00:00+00:00,Golden Retriever,Golden & Grey on Back Haunches,Charlie,M/N,Lost
113,1999-02-19T00:00:00+00:00,Pit X Lab,Black,Rosie,F,Lost
114,1999-02-19T00:00:00+00:00,Sheepdog X?,Beige,,M,Found
115,1999-02-19T00:00:00+00:00,Spaniel  X,Beige,,M/N,Matched
116,1999-02-20T00:00:00+00:00,Lab X,Tan,,M,Found
117,1999-02-21T00:00:00+00:00,Collie X Elk X Shep,Black & Brown & White,Bear,M,Lost
118,1999-02-21T00:00:00+00:00,Pomeranian,Orange,,F,Found
119,1999-02-22T00:00:00+00:00,Germ Shep,Black & Tan,Whisper,F/S,Matched
120,1999-02-22T00:00:00+00:00,Lab,Black,,M/N,Lost
121,1999-02-22T00:00:00+00:00,Shep X,Orange & Black,Lupa,F/S,Lost
122,1999-02-23T00:00:00+00:00,Golden Retriever,Rust & Brown,Chewy,M,Matched
123,1999-02-23T00:00:00+00:00,Rottweiler,Black & Tan,,M,Found
124,1999-02-24T00:00:00+00:00,Black Lab,Black,,M,Found
125,1999-02-24T00:00:00+00:00,German Sheperd,Black & Tan,,M,Found
126,1999-02-24T00:00:00+00:00,Ridgeback,Rust,Lucy Luhinder,F,Matched
127,1999-02-24T00:00:00+00:00,Rott X,Brown,Chops,M,Lost
128,1999-02-24T00:00:00+00:00,Rott X,Brown,Wagger,M,Lost
129,1999-02-25T00:00:00+00:00,Border Collie,Black & White,Odon,M,Lost
130,1999-02-25T00:00:00+00:00,Lab - puppy,Black,,M,Matched
131,1999-02-25T00:00:00+00:00,Lab X,Black & Brown,,M,Matched
132,1999-02-25T00:00:00+00:00,Siberian Husky,Red & White,,M,Found
133,1999-02-26T00:00:00+00:00,Rottweiler,Black & Tan,Cody,F/S,Lost
