,date,breed,color,sex,state,name
94,1999-02-13,shep  (dog loose in area),"['black', 'tan']",f/s,found,unknown
95,1999-02-13,shep mix husky,"['brown', 'tan']",m/n,lost,homer
96,1999-02-14,lab,['black'],m,found,unknown
97,1999-02-14,lab mix,['light brown'],f/s,lost,boots
98,1999-02-14,lhasa apso,"['white', 'grey']",f/s,lost,velvet
99,1999-02-14,samoyed,['blonde'],f/s,found,unknown
100,1999-02-15,collie mix,"['white', ' gold']",f/s,lost,tochi
101,1999-02-16,lab mix setter,"['brown', 'red']",f/s,lost,angie
102,1999-02-16,lhasa apso,"['tan', ' white', ' black']",m/n,matched,buddy
103,1999-02-16,mala mix husky,"['grey', 'auburn']",m,found,unknown
104,1999-02-17,akita mix malamute,"['black', 'grey']",m,lost,niko
105,1999-02-17,labrador,['black'],m,found,unknown
106,1999-02-17,shep mix husky,['tan'],f/s,lost,sheba
107,1999-02-17,terrier mix  (reunited),['beige'],m/n,lost,buddy
108,1999-02-18,rottweiler,"['black', ' tan']",m/n,lost,teddy
109,1999-02-18,staffordshire terrier,"['black', 'white']",m/n,lost,woody
110,1999-02-18,terrier mix,['black'],m,matched,buddy
111,1999-02-19,blue heeler mix,['blue merle'],f/s,lost,kita
112,1999-02-19,golden retriever,"['golden', 'grey on back haunches']",m/n,lost,charlie
113,1999-02-19,pit mix lab,['black'],f,lost,rosie
114,1999-02-19,sheepdog mix?,['beige'],m,found,unknown
115,1999-02-19,spaniel  mix,['beige'],m/n,matched,unknown
116,1999-02-20,lab mix,['tan'],m,found,unknown
117,1999-02-21,collie mix elk mix shep,"['black', 'brown', 'white']",m,lost,bear
118,1999-02-21,pomeranian,['orange'],f,found,unknown
119,1999-02-22,germ shep,"['black', 'tan']",f/s,matched,whisper
120,1999-02-22,lab,['black'],m/n,lost,unknown
121,1999-02-22,shep mix,"['orange', 'black']",f/s,lost,lupa
122,1999-02-23,golden retriever,"['rust', 'brown']",m,matched,chewy
123,1999-02-23,rottweiler,"['black', 'tan']",m,found,unknown
124,1999-02-24,black lab,['black'],m,found,unknown
125,1999-02-24,german sheperd,"['black', 'tan']",m,found,unknown
126,1999-02-24,ridgeback,['rust'],f,matched,lucy luhinder
127,1999-02-24,rott mix,['brown'],m,lost,chops
128,1999-02-24,rott mix,['brown'],m,lost,wagger
129,1999-02-25,border collie,"['black', 'white']",m,lost,odon
130,1999-02-25,lab - puppy,['black'],m,matched,unknown
131,1999-02-25,lab mix,"['black', 'brown']",m,matched,unknown
132,1999-02-25,siberian husky,"['red', 'white']",m,found,unknown
133,1999-02-26,rottweiler,"['black', 'tan']",f/s,lost,cody
134,1999-02-26,rotty mix shep,"['black', 'tan']",f/s,lost,shylo
135,1999-02-26,terrier mix,"['black', 'white']",f/s,lost,cara
136,1999-02-27,doby,['red'],f/s,matched,duby
137,1999-02-27,j.r. terrier,"['salt', 'pepper']",f/s,lost,rosie
138,1999-02-27,pitbull,['black'],m/n,matched,unknown
139,1999-02-27,rott,"['black', 'tan']",m/n,matched,unknown
140,1999-03-02,boxer,['white'],m,lost,bruno
141,1999-03-03,bulldog,"['brown', 'white']",m,lost,popeye
142,1999-03-03,bulldog,"['white', 'blk', 'brown']",f,lost,georgia
143,1999-03-03,daschund mix terr,"['black', 'tan']",m,lost,unknown
144,1999-03-03,husky mix,"['cream', 'black']",m,lost,dustin
145,1999-03-03,pit mix lab,['yellow'],f/s,lost,mango
146,1999-03-03,siberian husky,"['black', 'white', 'brown']",m/n,matched,miko
147,1999-03-03,terrier mix,['brown'],f,found,fanny
148,1999-03-04,labrador,['black'],m/n,lost,unknown
149,1999-03-04,shih tzu,['white'],f,lost,unknown
150,1999-03-04,spaniel mix,"['white', 'tan']",f,found,unknown
151,1999-03-05,american cocker,['blonde'],f/s,lost,mise'
152,1999-03-05,cocker spaniel,['blonde'],f,found,unknown
153,1999-03-05,lhasa mix poo,['white'],f/s,lost,velvet
154,1999-03-05,rottweiler,"['black', 'brown']",m,lost,ravage
155,1999-03-05,sheperd mix doberman,"['brown', 'black']",f/s,lost,tara
156,1999-03-05,sheperd mix lab,['black'],f/s,lost,rew
157,1999-03-06,american eskimo,['white'],m/n,found,unknown
158,1999-03-06,lab,['black'],m,matched,louie
159,1999-03-06,lab (pup),['golden'],m,matched,unknown
