AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO
2040;Shep;;M;;2000-05-26;20059;Bob;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;1
2041;Rott X;2000-05-10;M/N;10655 BP6;2000-05-27;20040;Ben;200;;Black & Tan;;;;OWNER-SURRENDERED;Sold;18
2042;Rott X Shep;;M;10656-TU;2000-05-28;20025;Browser;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;5
2046;Collie X Shep;2000-05-10;F/S;;2000-04-19;20091;Sam;200;;Tri-Color;;;;COMPLAINT;Transferred;4
2055;Pit X Lab;2000-04-05;M/N;10663 ,FB;2000-05-03;20018;Sebastian;200;;Brown & White;;;;OWNER-SURRENDERED;Sold;22
2057;Shep X;2000-05-17;M/N;10589 l.f.;2000-05-04;20042;Todd;200;;Tri Colour;;;;HOLDING STRAY;Sold;5
2062;Border Collie X;2000-05-29;F/S;10575,JC;2000-05-18;20073;Diana;200;;Black;;;;HOLDING STRAY;Sold;15
2063;Shepherd;2000-05-30;M/N;10660 l.f.;2000-05-19;20024;Vern;200;;Black & Brown;;;;BROUGHT-IN;Sold;4
2066;Shep X Lab  (pup);2000-06-07;F;10669,MC;2000-05-28;20087;Cybill Shepherd;200;;Black & Tan;;;;BROUGHT-IN;Sold;0
2070;Shepherd X;;M/N;10659,MC;2000-05-30;20027;Nanuk;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;6
2071;Shep X;;M;10576-TU;2000-05-30;20029;Chico;200;;Black & Tan;;;;COMPLAINT;Redeemed;10
2078;Maltipoo;;M/N;10580-TU;2000-06-01;20080;Magoo;200;;Grey;;;;HOLDING STRAY;Sold;22
2079;Pug;;M/N;10584,MC;2000-06-01;20053;Baba;200;;Tan & Black;;;;BROUGHT-IN;Sold;15
2084;Rott;2000-06-13;M/N;10773,MC;2000-06-04;20067;Prince;200;;Black & Tan;;;;HOLDING STRAY;Sold;15
2091;Pitbull;;M/N;10703,BP6;2000-06-06;20028;Brutus;200;;Dark Brown;;;;SPCA;Redeemed;6
2095;Shep X;;F;10667, BP6;2000-06-06;20029;Shady;200;;Black;;;;HOLDING STRAY;Redeemed;8
2096;Lab X Pit;;F;10581-TU;2000-06-06;20051;Kachi;200;;Tan & White;;;;POLICE-NIGHT;Redeemed;5
2097;Lab X Pit;;M;10578,ks;2000-06-06;20027;;200;;Tan;;;;POLICE-NIGHT;Redeemed;5
2100;Terrier X;;F;10587 l.f.;2000-06-07;20072;Mandy;200;;Black & Tan;;;;HOLDING STRAY;Sold;15
